model,rmse,mae,qlike,n,ticker
baseline,0.017621069737255163,0.01091796963924318,-6.072816650685462,2772,D
har,0.01600809011080738,0.010167697177960972,-6.135658319070704,2772,D
ridge,0.015792544021248876,0.010090219037098213,-6.148348302489252,2772,D
rf,0.01619869140206652,0.010057199122308264,-6.143197855671344,2772,D
baseline,0.030382602545586744,0.0193605055025957,-4.936389868676302,2772,DAL
har,0.02853613583421362,0.017257233155975202,-4.844029362253122,2772,DAL
ridge,0.027465669214179582,0.01677092914479831,-4.903473357278837,2772,DAL
rf,0.029559350837099457,0.017435376961101277,-4.864305977804575,2772,DAL
baseline,0.03386190498057136,0.019264984407395245,-4.796002634288898,2772,DG
har,0.028732434972043055,0.01567832219600836,-4.999441637783896,2772,DG
ridge,0.028031536676667773,0.01524526828804661,-5.038298152258737,2772,DG
rf,0.027390911264168007,0.014641196747583147,-5.030011556569218,2772,DG
baseline,0.032940059706304675,0.01537290035694581,-4.732909880575198,2772,DHR
har,0.027198463364901632,0.013636289697780805,-5.189152389319763,2772,DHR
ridge,0.02624963557904471,0.0131175236273461,-5.107471496514882,2772,DHR
rf,0.025209483534169224,0.012462145211700528,-5.093234889815568,2772,DHR
baseline,0.022844504743755174,0.015495100973882939,-5.5101367917298205,2772,DIS
har,0.020955634215523936,0.013710621735557201,-5.601468292239526,2772,DIS
ridge,0.020386708386718157,0.013216644336898136,-5.619414952455418,2772,DIS
rf,0.020493385102744798,0.013028379720714306,-5.611910585461587,2772,DIS
baseline,0.03611937980742684,0.023361145075727664,-4.455982077460175,2772,DLTR
har,0.03135333245654788,0.018473618471130472,-4.605347653249893,2772,DLTR
ridge,0.030489960050071204,0.01803333923604549,-4.7341765738448665,2772,DLTR
rf,0.030225747273093823,0.017427682775802065,-4.721565951428631,2772,DLTR
baseline,0.024937445116840318,0.017202339755336166,-5.046310050574557,2772,DPZ
har,0.02251178339672221,0.014676638121935377,-5.185171170522974,2772,DPZ
ridge,0.02204217287911154,0.01444682991003548,-5.23699366494813,2772,DPZ
rf,0.021911568752934204,0.014336522958513148,-5.245956329169662,2772,DPZ
baseline,0.015695755664119154,0.009642151431140366,-6.20513371491027,2772,DTE
har,0.0150209968675775,0.009613402914616495,-6.268885952739103,2772,DTE
ridge,0.014945855194924477,0.009564771042162466,-6.276891464691373,2772,DTE
rf,0.015581537580512762,0.009563456055173655,-6.264457160933994,2772,DTE
baseline,0.014199609121719014,0.008799158281818388,-6.33710926155242,2772,DUK
har,0.013676627939692923,0.009171244741265063,-6.36580245387204,2772,DUK
ridge,0.0134953684182919,0.009021707054146249,-6.382586703352402,2772,DUK
rf,0.013589149175514332,0.008851152410659325,-6.3842155690882025,2772,DUK
baseline,0.05063680538106846,0.030439693475516703,-3.8331963391022033,2772,DXCM
har,0.04445224715260312,0.024642857178079607,-3.4162849973140923,2772,DXCM
ridge,0.04306280024299343,0.02393932925693132,-3.631653271558483,2772,DXCM
rf,0.04241553361025109,0.023205369759943778,-3.686724430684241,2772,DXCM
baseline,0.015148385771136343,0.009222816191071752,-6.260017289716573,2772,ED
har,0.014227631434809162,0.009120997657332581,-6.28276867747591,2772,ED
ridge,0.013837174275778373,0.009011116598762471,-6.302071570231032,2772,ED
rf,0.014030653232433547,0.008877413692570255,-6.301642820139534,2772,ED
baseline,0.031387285948423604,0.020296725268422088,-4.848613264734924,2772,EL
har,0.02814109563949347,0.01689615752524811,-4.966801803448033,2772,EL
ridge,0.027526997368461006,0.016240134323487313,-5.035385970015653,2772,EL
rf,0.027636755234052665,0.01618381900471736,-5.022355465852012,2772,EL
baseline,0.02806623763259149,0.01758729873951876,-4.9829231574678765,2772,EOG
har,0.02685370935412695,0.016189354596204256,-4.8664113869046535,2772,EOG
ridge,0.026253607279963148,0.01582508291436396,-4.930989962524012,2772,EOG
rf,0.02732209252598133,0.01634117024474437,-4.942563209652816,2772,EOG
baseline,0.018077498629527438,0.011207400878993808,-5.911357759498283,2772,ETR
har,0.016742315811299358,0.010638068230054903,-6.03366559073812,2772,ETR
ridge,0.016483410100271892,0.010474834604841483,-6.04917628003248,2772,ETR
rf,0.016868467733498697,0.010456920116166925,-6.041831563679542,2772,ETR
baseline,0.032412049173096744,0.01942994333796381,-4.739725750523657,2772,EW
har,0.028391744158035123,0.01623033363269954,-4.832868010779534,2772,EW
ridge,0.027655526226257197,0.015886437456462003,-4.886487392356498,2772,EW
rf,0.02702530741926387,0.015193768867154097,-4.890558407166775,2772,EW
baseline,0.01706874843816666,0.010522762885540785,-5.995976177785534,2772,EXC
har,0.016194540011100624,0.010196021558026782,-6.03929114657403,2772,EXC
ridge,0.015893796004953737,0.010161916398467578,-6.055331166234601,2772,EXC
rf,0.016462992028909263,0.010110250278585958,-6.0470533195057,2772,EXC
baseline,0.018731390672491004,0.013435694395606606,-5.653502422145899,2772,EXPD
har,0.017305568068187373,0.012214643431917216,-5.769093139010937,2772,EXPD
ridge,0.01744304650657061,0.01234062240445937,-5.778463492500636,2772,EXPD
rf,0.017287668868887576,0.01216792137898745,-5.778222774631796,2772,EXPD
baseline,0.028806928030989238,0.01897432257674149,-5.061175292827869,2772,FDX
har,0.025844230424617004,0.015935283362110118,-5.158472962126777,2772,FDX
ridge,0.025187139446724145,0.015389890427822584,-5.202057005253114,2772,FDX
rf,0.024928731320224055,0.01504797336039479,-5.207592878584052,2772,FDX
baseline,0.03796097823514235,0.02501485788790855,-4.380532485131735,2772,FTNT
har,0.033752839841761764,0.02042553259500847,-4.33638056833263,2772,FTNT
ridge,0.03275722730848944,0.019751849028732737,-4.456890020214583,2772,FTNT
rf,0.0325148565782637,0.019330368233409105,-4.462191401233267,2772,FTNT
baseline,0.02478249845683606,0.017266090718798578,-5.120957837233084,2772,GE
har,0.023859671320886143,0.015804169141043326,-5.128659112917091,2772,GE
ridge,0.023387561177673908,0.015479516654028013,-5.152309964970513,2772,GE
rf,0.02382639705855343,0.015503502937464064,-5.161840220250866,2772,GE
baseline,0.018392242699139437,0.01327945098484856,-5.5840476026938095,2772,GILD
har,0.017240179537903223,0.012112661271553919,-5.627570545180693,2772,GILD
ridge,0.017007633481247328,0.011972363864957153,-5.636278037815415,2772,GILD
rf,0.016819428598600618,0.01179382506358835,-5.645084038830765,2772,GILD
baseline,0.016148136157950112,0.011821798918266532,-5.917412259280705,2772,GIS
